name,time,tweet
UltraYOUwoman,Fri Sep 07 16:25:06 +0000 2018,Done is better than perfect. — Sheryl Sandberg #quote #motivation #justdoit https://t.co/J9lLdszdW6
yungcutup,Fri Sep 07 16:24:59 +0000 2018,"Shout out to the Great Fire Department and the tour! 👨‍🚒👨‍🚒 Much love to NYC! 💯🎥🔥✊🏿
•
•
•
#hero #fdny #likesforlikes #promo #music #instagood #instadaily #postoftheday #bestoftheday #justdoit #nike #picoftheday... https://t.co/sFobQ2ukpo"
rachelbogle,Fri Sep 07 16:24:50 +0000 2018,"There are some AMAZINGLY hilarious Nike Ad memes happening on my newsfeed.  Soooo, I decided to get a little creative too... 

#JustDoIt #4YourMorning #4YourMemeCollection 

🍪😂 https://t.co/6ok9qR6k6M"
ErvGotti609,Fri Sep 07 16:24:44 +0000 2018,#kapernickeffect #swoosh #justdoit @ Lucas Bishop's Cigar Lounge https://t.co/BhPBnjOkuU
NoLuckNeeded,Fri Sep 07 16:24:39 +0000 2018,"One Hand, One Dream: The Shaquem Griffin Story  https://t.co/0EbEmwULLF   #shaquem  #NFL #Seattle #Seahawks #griffin #JustDoIt #Nike https://t.co/pr8eosDZS7"
tazman69,Fri Sep 07 16:24:35 +0000 2018,@realDonaldTrump It's time for me to stock up on some new running apparel. Nike it is! #JUSTDOIT
MJJJusticePrjct,Fri Sep 07 16:24:24 +0000 2018,Why won't Trump protect our elections?  Think it over.  #RegisterToVote Vote -  #JustDoIt https://t.co/x9I3qgZDEH
jaure302,Fri Sep 07 16:24:13 +0000 2018,"@Nike good job on shaking the whole world, i see what you did there. Millions and Millions of dollars worth of free advertising. #JustDoIt"
elizmopi,Fri Sep 07 16:24:09 +0000 2018,GREAT way to meet good people...wearing your Nike gear in the park! Thanks @Nike @nikestore @Kaepernick7 #JustDoIt #TakeAKnee #TakeAKneeInNikes https://t.co/TIFLnv2puQ
icmnigeria,Fri Sep 07 16:23:51 +0000 2018,"Lead,Trade and Succeed with ICM
Please retweet 
#FX #FeelGoodFriday #FridayFeeling #TRADERMONI #JustDoIt #FridayMotivation https://t.co/rtmVToSucq"
MERKE15,Fri Sep 07 16:23:41 +0000 2018,My favorites so far #JustDoIt https://t.co/zY7VDa5Q0X
2ndVote,Fri Sep 07 16:23:40 +0000 2018,"Colin Kaepernick's business partner @Nike sends millions of dollars to groups which target black lives for gruesome deaths domestically and abroad. #NikeBoycott #JustDoIt

https://t.co/abSV7fP7YN"
aweayodeji,Fri Sep 07 16:23:37 +0000 2018,@CSPensions Why be a cat when you can be a lion. #JustDoIt  ;)
KirkendallMark,Fri Sep 07 16:23:30 +0000 2018,"@realDonaldTrump They were thinking history will judge the treatment of @ColinKaperneck7 and will come out on his side, they decided to lead! #JustDoIt"
JD_Crow,Fri Sep 07 16:23:27 +0000 2018,@RepAdamSchiff Go ahead @RepAdamSchiff   #JustDoIt #SpartacAssJr
aweayodeji,Fri Sep 07 16:23:21 +0000 2018,Why be a cat when you can be a lion. #JustDoIt https://t.co/vPOkgfchFR
IL_chiraqtruth,Fri Sep 07 16:23:17 +0000 2018,#socialism be like me and #JustDoIt because ya know it like works and stuff I mean come on it’s like the greatest thing ever I mean like duh ....🤔🙄😳...#Truth #kaga2018 #kag2020 #Maga #FakeNews https://t.co/FsJZyVC98J
NoGunsNoGlory,Fri Sep 07 16:23:09 +0000 2018,"Hey @Nike I stood for our country. I served my nation and that flag you're so enthused to kneel for. I stood for something, gave up everything. You want to impress me? Hire a real man for your ads. Hire a marine not a bitchy millionaire. He gave up nothing.  #JustDoIt"
1776HotLips,Fri Sep 07 16:23:02 +0000 2018,"I’ve seen a lot of memes re #JustDoIt but this particular one struck me.......haunting. 

For me, this speaks to how far the Left will go to undermine @realDonaldTrump &amp; the will of true American Patriots. 

Let’s do our job to help @POTUS 

#VoteRedToSaveAmerica #VoteRed2018 https://t.co/rm7XBt3W9l"
stonyjbc,Fri Sep 07 16:22:55 +0000 2018,Abortion stops a beating heart. Just imagine all the lives we can save if we get #Kavanaugh on the court. Democrats should be eager to confirm him for the sake of our children. #justdoit
